order_id,order_date,ship_date,customer_id,customer_name,segment,city,state,region,product_id,product_name,category,subcategory,quantity,unit_price,discount,sales,cost,profit,shipping_mode,sales_channel,payment_type,returned_flag,account_manager,month,quarter,year
ORD-202504-01563,2025-04-08,2025-04-14,CUST-04928,Nathan Williams,Consumer,Atlanta,GA,South,OFF-BI-1001,3-Ring Binder Set,Office Supplies,Binders,6,12.19,0.1,65.83,30.45,35.38,Standard Class,Wholesale,Debit Card,No,Quinn Foster,Apr,Q2,2025
ORD-202504-01613,2025-04-17,2025-04-21,CUST-02761,Mason King,Corporate,Miami,FL,South,OFF-BI-1003,Archival Storage Binder,Office Supplies,Binders,2,15.13,0.07,28.14,12.18,15.96,Standard Class,Online,Debit Card,No,Cameron Scott,Apr,Q2,2025
ORD-202504-00509,2025-04-30,2025-05-03,CUST-07965,Samuel Davis,Consumer,Seattle,WA,West,TEC-CP-1003,Compact Multifunction Copier,Technology,Copiers,1,672.56,0.0,672.56,438.48,234.08,Second Class,Store,PayPal,No,Skyler Adams,Apr,Q2,2025
ORD-202504-01932,2025-04-13,2025-04-17,CUST-04302,Noah Roberts,Corporate,Phoenix,AZ,West,OFF-AR-1003,Creative Desk Organizer Tray,Office Supplies,Art,5,10.64,0.1,47.88,25.37,22.51,Second Class,Wholesale,Bank Transfer,No,Skyler Adams,Apr,Q2,2025
ORD-202504-02044,2025-04-12,2025-04-13,CUST-01307,Elliot Martin,Corporate,San Diego,CA,West,TEC-CP-1003,Compact Multifunction Copier,Technology,Copiers,1,652.13,0.02,639.09,438.48,200.61,Same Day,Store,Credit Card,No,Quinn Foster,Apr,Q2,2025
ORD-202504-01144,2025-04-24,2025-04-24,CUST-05530,Sebastian Young,Corporate,Raleigh,NC,South,OFF-AR-1001,Marker & Highlighter Set,Office Supplies,Art,6,14.49,0.08,79.98,36.54,43.44,Same Day,Online,PayPal,No,Cameron Scott,Apr,Q2,2025
ORD-202504-01556,2025-04-04,2025-04-12,CUST-07873,Gabriel Gomez,Consumer,Phoenix,AZ,West,OFF-BI-1003,Archival Storage Binder,Office Supplies,Binders,2,15.17,0.07,28.22,12.18,-10.81,Standard Class,Online,Credit Card,Yes,Dakota Rivera,Apr,Q2,2025
ORD-202504-00027,2025-04-30,2025-05-02,CUST-00741,Ava Williams,Corporate,Minneapolis,MN,Central,FUR-FU-1001,Acoustic Desk Divider,Furniture,Furnishings,1,78.94,0.07,73.41,42.63,30.78,First Class,Store,Credit Card,No,Taylor Nguyen,Apr,Q2,2025
ORD-202504-00940,2025-04-11,2025-04-16,CUST-04897,Nathan Moore,Consumer,Miami,FL,South,TEC-MA-1001,Monochrome Laser Printer,Technology,Machines,1,295.55,0.06,277.82,192.85,84.97,Standard Class,Online,Credit Card,No,Cameron Scott,Apr,Q2,2025
ORD-202504-01199,2025-04-03,2025-04-04,CUST-01805,Aiden Thompson,Home Office,Springfield,IL,Central,OFF-AR-1003,Creative Desk Organizer Tray,Office Supplies,Art,3,10.86,0.06,30.63,15.22,15.41,First Class,Online,Credit Card,No,Taylor Nguyen,Apr,Q2,2025
