order_id,order_date,ship_date,customer_id,customer_name,segment,city,state,region,product_id,product_name,category,subcategory,quantity,unit_price,discount,sales,cost,profit,shipping_mode,sales_channel,payment_type,returned_flag,account_manager,month,quarter,year
ORD-202510-00901,2025-10-02,2025-10-05,CUST-05034,Nathan Garcia,Home Office,Seattle,WA,West,FUR-CH-1002,Executive Leather Chair,Furniture,Chairs,2,326.5,0.1,587.7,416.15,171.55,Second Class,Wholesale,Credit Card,No,Quinn Foster,Oct,Q4,2025
ORD-202510-01667,2025-10-31,2025-11-07,CUST-02114,Anna Perez,Corporate,Boulder,CO,West,FUR-FU-1002,LED Task Lamp,Furniture,Furnishings,1,49.16,0.17,40.8,23.34,17.46,Standard Class,Wholesale,Bank Transfer,No,Dakota Rivera,Oct,Q4,2025
ORD-202510-00835,2025-10-11,2025-10-19,CUST-06659,Samuel Williams,Corporate,Pittsburgh,PA,East,OFF-AR-1003,Creative Desk Organizer Tray,Office Supplies,Art,4,10.51,0.12,37.0,20.3,16.7,Standard Class,Wholesale,Bank Transfer,No,Jordan Patel,Oct,Q4,2025
ORD-202510-01665,2025-10-22,2025-10-26,CUST-08236,Leah Wright,Consumer,Dallas,TX,Central,TEC-AC-1002,USB-C Docking Station,Technology,Accessories,2,137.15,0.06,257.84,164.43,-134.54,Second Class,Online,Credit Card,Yes,Taylor Nguyen,Oct,Q4,2025
ORD-202510-00221,2025-10-13,2025-10-14,CUST-05751,Blake Walker,Home Office,Savannah,GA,South,FUR-TB-1001,Adjustable Standing Desk,Furniture,Tables,1,507.73,0.02,497.58,334.95,162.63,Same Day,Store,Debit Card,No,Quinn Foster,Oct,Q4,2025
ORD-202510-01106,2025-10-31,2025-11-03,CUST-00565,Jamie Wilson,Consumer,Springfield,IL,Central,OFF-BI-1003,Archival Storage Binder,Office Supplies,Binders,2,15.54,0.05,29.53,12.18,17.35,Second Class,Online,PayPal,No,Riley Chen,Oct,Q4,2025
ORD-202510-01595,2025-10-04,2025-10-07,CUST-06155,Kendall Martinez,Consumer,Orlando,FL,South,OFF-AR-1003,Creative Desk Organizer Tray,Office Sup.,Art,2,10.86,0.08,19.98,10.15,9.83,First Class,Online,Credit Card,No,Quinn Foster,Oct,Q4,2025
ORD-202510-00719,2025-10-29,2025-10-31,CUST-05399,David Lee,Consumer,Detroit,MI,Central,OFF-AP-1003,Water Dispenser Countertop,Office Supplies,Appliances,1,167.18,0.11,148.79,102.51,46.28,First Class,Marketplace,PayPal,No,Riley Chen,Oct,Q4,2025
ORD-202510-00901,2025-10-02,2025-10-05,CUST-05034,Nathan Garcia,Home Office,Seattle,WA,West,TEC-PH-1001,Business Smartphone X,Technology,Phones,2,649.27,0.08,1194.66,978.46,216.2,Second Class,Wholesale,Credit Card,No,Quinn Foster,Oct,Q4,2025
ORD-202510-01715,2025-10-30,2025-11-01,CUST-00039,Taylor Nelson,Corporate,San Francisco,CA,West,FUR-TB-1003,Training Room Folding Table,Furniture,Tables,1,231.54,0.12,203.76,156.31,47.45,First Class,Online,Credit Card,No,Dakota Rivera,Oct,Q4,2025
