order_id,order_date,ship_date,customer_id,customer_name,segment,city,state,region,product_id,product_name,category,subcategory,quantity,unit_price,discount,sales,cost,profit,shipping_mode,sales_channel,payment_type,returned_flag,account_manager,month,quarter,year
ORD-202502-00853,2025-02-28,2025-03-07,CUST-06439,Gabriel Scott,Corporate,Pittsburgh,PA,East,TEC-CP-1003,Compact Multifunction Copier,Technology,Copiers,2,649.68,0.11,1156.43,876.96,279.47,Standard Class,Marketplace,PayPal,No,Jordan Patel,Feb,Q1,2025
ORD-202502-00816,2025-02-13,2025-02-16,CUST-02927,Quinn Mitchell,Small Business,Sacramento,CA,West,OFF-BI-1002,Label Divider Binder Kit,Office Supplies,Binders,2,17.84,0.12,31.4,16.24,15.16,First Class,Marketplace,PayPal,No,Skyler Adams,Feb,Q1,2025
ORD-202502-00480,2025-02-10,2025-02-16,CUST-11980,Micah Brown,Home Office,Charlotte,NC,South,OFF-PA-1002,Recycled Legal Paper Pack,Office Supplies,Paper,4,18.54,0.04,71.19,36.54,34.65,Standard Class,Store,Credit Card,No,Morgan Lee,Feb,Q1,2025
ORD-202502-00285,2025-02-17,2025-02-22,CUST-02822,Zoe Lee,Consumer,Savannah,GA,South,OFF-AR-1003,Creative Desk Organizer Tray,Office Supplies,Art,4,10.5,0.07,39.06,20.3,18.76,Standard Class,Marketplace,Credit Card,No,Quinn Foster,Feb,Q1,2025
ORD-202502-01749,2025-02-20,2025-02-21,CUST-08779,Rowan Campbell,Home Office,Los Angeles,CA,West,OFF-BI-1003,Archival Storage Binder,Office Supplies,Binders,5,14.31,0.07,66.54,30.45,36.09,Same Day,Online,Debit Card,No,Skyler Adams,Feb,Q1,2025
ORD-202502-00783,2025-02-20,2025-02-21,CUST-07300,Quinn Lee,Home Office,Spokane,WA,West,TEC-AC-1001,Wireless Keyboard & Mouse Combo,Technology,Accessories,2,58.2,0.02,114.07,62.93,51.14,First Class,Online,PayPal,No,Dakota Rivera,Feb,Q1,2025
ORD-202502-02258,2025-02-08,2025-02-14,CUST-06337,Mason Martin,Home Office,Miami,FL,South,FUR-FU-1002,LED Task Lamp,Furniture,Furnishings,2,48.04,0.15,81.67,46.69,34.98,Standard Class,Wholesale,Credit Card,No,Morgan Lee,Feb,Q1,2025
ORD-202502-00030,2025-02-20,2025-02-28,CUST-09779,Skyler Thompson,Consumer,Detroit,MI,Central,TEC-CP-1001,High-Speed Office Copier,Technology,Copiers,2,1588.05,0.09,2890.25,2111.2,779.05,Standard Class,Marketplace,PayPal,No,Parker James,Feb,Q1,2025
ORD-202502-01922,2025-02-06,2025-02-07,CUST-04747,Nathan Ramirez,Home Office,Orlando,FL,South,OFF-AP-1001,Office Microwave,Office Supplies,Appliances,3,131.3,0.01,389.96,234.46,155.5,First Class,Store,Cash,No,Morgan Lee,Feb,Q1,2025
ORD-202502-02290,2025-02-01,2025-02-05,CUST-07186,Liam Green,Home Office,Phoenix,AZ,West,OFF-AR-1001,Marker & Highlighter Set,Office Supplies,Art,1,14.94,0.06,14.04,6.09,-5.96,Second Class,Store,PayPal,Yes,Quinn Foster,Feb,Q1,2025
ORD-202502-00907,2025-02-07,2025-02-11,CUST-00889,Emily Miller,Small Business,Philadelphia,PA,East,TEC-AC-1003,Noise-Canceling Headset,Technology,Accessories,5,98.54,0.08,453.28,304.5,148.78,Second Class,Online,Credit Card,No,Parker James,Feb,Q1,2025
ORD-202502-00491,2025-02-25,2025-02-26,CUST-03482,Alex Nelson,Consumer,Houston,TX,Central,TEC-MA-1002,All-in-One Inkjet Printer,Technology,Machines,1,197.41,0.02,193.46,123.83,69.63,Same Day,Online,Credit Card,No,Parker James,Feb,Q1,2025
ORD-202502-02202,2025-02-12,2025-02-19,CUST-03218,Elijah Mitchell,Consumer,New York,NY,East,TEC-CP-1002,Desktop Color Copier,Tech,Copiers,1,921.3,0.12,810.74,614.07,196.67,Standard Class,Wholesale,Credit Card,No,Avery Brooks,Feb,Q1,2025
ORD-202502-01590,2025-02-15,2025-02-21,CUST-05123,Anna King,Consumer,Boston,MA,East,OFF-AP-1002,Compact Coffee Maker,Office Supplies,Appliances,4,87.44,0.07,325.28,219.24,106.04,Standard Class,Online,Credit Card,No,Avery Brooks,Feb,Q1,2025
ORD-202502-00426,2025-02-11,2025-02-19,CUST-06838,Harper Sanchez,Consumer,Seattle,WA,West,OFF-PA-1002,Recycled Legal Paper Pack,Office Supplies,Paper,10,17.56,0.09,159.8,91.35,68.45,Standard Class,Marketplace,Debit Card,No,Skyler Adams,Feb,Q1,2025
ORD-202502-02067,2025-02-09,2025-02-17,CUST-08628,Dakota Carter,Small Business,Denver,CO,West,TEC-PH-1002,VoIP Conference Phone,Technology,Phones,1,261.53,0.08,240.61,168.49,72.12,Standard Class,Online,Debit Card,No,Dakota Rivera,Feb,Q1,2025
ORD-202502-00979,2025-02-09,2025-02-13,CUST-00899,Blake Wright,Small Business,New York,NY,East,TEC-PH-1003,5G Mobile Hotspot,Technology,Phones,2,161.84,0.09,294.55,180.67,113.88,Second Class,Online,PayPal,No,Jordan Patel,Feb,Q1,2025
ORD-202502-01087,2025-02-08,2025-02-10,CUST-04278,Isaac Scott,Corporate,Chicago,IL,Central,FUR-ST-1003,Lateral Filing Cabinet,Furniture,Storage,1,299.36,0.1,269.42,186.76,82.66,First Class,Marketplace,Credit Card,No,Taylor Nguyen,Feb,Q1,2025
ORD-202502-01208,2025-02-01,2025-02-08,CUST-01092,Jamie Roberts,Consumer,Spokane,WA,West,OFF-AR-1001,Marker & Highlighter Set,Office Supplies,Art,1,13.68,0.04,13.13,6.09,7.04,Standard Class,Store,PayPal,No,Skyler Adams,Feb,Q1,2025
ORD-202502-01995,2025-02-28,2025-03-02,CUST-10241,Morgan Lee,Home Office,Dallas,TX,Central,OFF-AP-1003,Water Dispenser Countertop,Office Supplies,Appliances,1,166.27,0.05,157.96,102.51,55.45,First Class,Online,Credit Card,No,Riley Chen,Feb,Q1,2025
ORD-202502-00719,2025-02-22,2025-02-27,CUST-05799,Abigail Lewis,Consumer,Tucson,AZ,West,OFF-BI-1003,Archival Storage Binder,Office Supplies,Binders,6,14.81,0.09,80.86,36.54,44.32,Standard Class,Wholesale,Credit Card,No,Dakota Rivera,Feb,Q1,2025
ORD-202502-01479,2025-02-04,2025-02-06,CUST-04137,Taylor Robinson,Corporate,San Diego,CA,West,TEC-AC-1001,Wireless Keyboard & Mouse Combo,Technology,Accessories,4,64.77,0.1,233.17,125.86,-108.03,First Class,Online,Credit Card,Yes,Dakota Rivera,Feb,Q1,2025
ORD-202502-00905,2025-02-12,2025-02-13,CUST-01976,Noah Lopez,Consumer,Phoenix,AZ,West,FUR-TB-1001,Adjustable Standing Desk,Furniture,Tables,1,511.12,0.08,470.23,334.95,135.28,First Class,Store,Debit Card,No,Skyler Adams,Feb,Q1,2025
ORD-202502-01848,2025-02-04,2025-02-10,CUST-10891,Drew Campbell,Home Office,Denver,CO,West,OFF-BI-1001,3-Ring Binder Set,Office Supplies,Binders,3,13.05,0.06,36.8,15.22,21.58,Standard Class,Online,Credit Card,No,Dakota Rivera,Feb,Q1,2025
ORD-202502-01326,2025-02-18,2025-02-21,CUST-01432,Joseph Jackson,Small Business,St. Paul,MN,Central,FUR-FU-1002,LED Task Lamp,Furniture,Furnishings,2,51.92,0.17,86.19,46.69,39.5,Second Class,Marketplace,PayPal,No,Riley Chen,Feb,Q1,2025
ORD-202502-01350,2025-02-19,2025-02-22,CUST-03465,Abigail Johnson,Home Office,Orlando,FL,South,OFF-BI-1001,3-Ring Binder Set,Office Supplies,Binders,1,11.89,0.07,11.06,5.07,5.99,First Class,Online,Debit Card,No,Cameron Scott,Feb,Q1,2025
ORD-202502-00945,2025-02-14,2025-02-16,CUST-10112,Micah Taylor,Small Business,Buffalo,NY,East,OFF-AR-1001,Marker & Highlighter Set,Office Supplies,Art,3,13.49,0.12,35.61,18.27,17.34,First Class,Marketplace,Credit Card,No,Avery Brooks,Feb,Q1,2025
ORD-202502-01361,2025-02-14,2025-02-19,CUST-03850,Chloe White,Corporate,Boston,MA,East,OFF-PA-1002,Recycled Legal Paper Pack,Office Supplies,Paper,3,17.36,0.11,46.35,27.4,18.95,Standard Class,Wholesale,Bank Transfer,No,Jordan Patel,Feb,Q1,2025
ORD-202502-00991,2025-02-27,2025-03-04,CUST-10424,Olivia King,Consumer,Chicago,IL,Central,TEC-MA-1001,Monochrome Laser Printer,Technology,Machines,1,256.59,0.14,220.67,192.85,27.82,Standard Class,Wholesale,Bank Transfer,No,Riley Chen,Feb,Q1,2025
ORD-202502-01636,2025-02-03,2025-02-11,CUST-01180,Peyton Roberts,Corporate,Dallas,TX,Central,OFF-BI-1002,Label Divider Binder Kit,Office Supplies,Binders,2,17.58,0.12,30.94,16.24,14.7,Standard Class,Marketplace,Credit Card,No,Taylor Nguyen,Feb,Q1,2025
ORD-202502-00132,2025-02-05,2025-02-07,CUST-00217,Micah Nelson,Corporate,Chicago,IL,Central,OFF-PA-1002,Recycled Legal Paper Pack,Office Supplies,Paper,3,17.4,0.07,48.55,27.4,21.15,Second Class,Store,PayPal,No,Parker James,Feb,Q1,2025
ORD-202502-01178,2025-02-10,2025-02-18,CUST-05839,Dakota Torres,Home Office,Seattle,WA,West,TEC-MA-1002,All-in-One Inkjet Printer,Technology,Machines,1,179.87,0.1,161.88,123.83,38.05,Standard Class,Marketplace,Credit Card,No,Dakota Rivera,Feb,Q1,2025
ORD-202502-01253,2025-02-05,2025-02-10,CUST-08434,Nora Lee,Home Office,Denver,CO,West,OFF-AR-1001,Marker & Highlighter Set,Office Supplies,Art,1,13.66,0.04,13.11,6.09,7.02,Second Class,Marketplace,Credit Card,No,Quinn Foster,Feb,Q1,2025
ORD-202502-02184,2025-02-26,2025-02-28,CUST-07930,Nora Gomez,Small Business,Miami,FL,South,TEC-PH-1002,VoIP Conference Phone,Technology,Phones,1,249.66,0.07,232.18,168.49,63.69,Second Class,Online,Credit Card,No,Quinn Foster,Feb,Q1,2025
ORD-202502-01710,2025-02-13,2025-02-16,CUST-06052,David Nelson,Home Office,Phoenix,AZ,West,OFF-BI-1002,Label Divider Binder Kit,Office Supplies,Binders,4,19.16,0.08,70.51,32.48,38.03,First Class,Marketplace,Credit Card,No,Dakota Rivera,Feb,Q1,2025
ORD-202502-01456,2025-02-22,2025-02-23,CUST-02269,Mason Rodriguez,Small Business,Savannah,GA,South,TEC-AC-1001,Wireless Keyboard & Mouse Combo,Technology,Accessories,2,65.17,0.05,123.82,62.93,60.89,First Class,Online,PayPal,No,Cameron Scott,Feb,Q1,2025
